,neighborhood_overview,review_scores_location
19550,Right opposite Mile End park  with lots of restaurants / take s / food shops including Co-Op  Lidl  Starbucks  Costa  KFC and more just down the road ,5
19555,In the leafy Stock  Park conservation    in between cool Clapham  funky Brixton and cricket-friendly Oval    to several gastropubs  the delightful eateries of  Little Portugal  and Brixton Village  Our local park also contains the Slade Gardens Adventure playground  Further afield  there's all the delights of the South Bank and Central London ,5
19557,Whitehall Park is quiet  green and safe residential    Our road is exceptionally quiet as it has no through traffic  The  forms a friendly and warm community which thrives on social events like street parties  various playgroups and a excellent primary school ,5
19577,This apartment benefits from its proximity to the bayswater shopping    It also has the overview of Hyde Park with its cafes  open-air swim g and beautiful  tree-lined  s   d to the pretty Kensington with its Museums  Holland Park  Notting Hill with its Arts Club  Portobello Market and of course Paddington with its speedy connection to Heathrow and far flung wonders such as Bath and Bristol ,5
19580,This is a very good and safe    also very   to Central  It's right on the high street where has lots of restaurants  bars  shops and supermarkets  You won't have problems with shops closing early here - some open till early morning ,5
19582,The   is residential and quiet but there is a lot  in terms of pubs   restaurants  There's also the stadium  of course  Richmond  which is a 10   bus ride    has theatres  shops  more pubs  bars   clubs  if you're into that  ,5
19589,Peckham is the heart of south London  By night it plays host to the underground of Londons art and music scenes and by day boasts a formidable array of restaurants and cafes  some of which our favourites are   For drinking  Franks cafe  a carpark rooftop vista bar  Bar story  for cocktails  Peckham springs  for parties  The Montpelier  best pub  Canavans pool hall  best late underground venue   For Food  Persepolis  authentic Persian cuisine  Theos  best pizza  Silk road  authentic Xinjiang cuisine   Time Outs best cheap eats in London ,5
19613,Chiswick Village is a  place to unwind either after a long day at work or after a busy shopping or sight seeing spree  Situated very   to the busy and cosmopolitan high road with its trendy bars and restaurants  Easy access to Westfield shopping centre and Central London  Overground rail stations of Kew Bridge  Chiswick are 10     and Gunnersbury Underground less than 10     Sit on the balcony and watch the world go by with your favorite bottle of wine,5
19616,Really convenient   for buses  tubes and taxis  You could   to Parliament Square or Tate Modern  Lovely cafes and pubs  typical London  Not a touristy   ,5
19622,Old Kent Road is a typically cosmopolitan   of South London  It was originally part of an ancient trackway that was paved by the Romans and used by the Anglo-Saxons  There are several popular food markets   namely Borough market  very big and very busy  and Maltby street market  smaller and fewer tourists  ,5
19636,Features 路 British Library 路 Somers Town Arts Festival 路 Pubs 路 The Shaw Theatre 路 Central 路 Friday Street Market James  home is located in London  United Kingdom  Camden Town is a sea of entertainment  It overflows with a variety of colourful markets  shops  restaurants  bars  pubs  clubs  theatres and cinemas  The town attracts enormous crowds of Londoners and tourists alike ,5
19638,A safe  friendly   We are   to Blackhorse Road underground station  which is on the Victoria Line  It's a very fast line  only 20   to Central London  Kings Cross  ,5
19640,Very vibrant and cosmopolitan middle class  ,5
19656,My   is located on a very quiet residential street  located   by to Greendale Playing Fields  Dulwich Hamlet Football Club as   as a large Sainsburys Supermarket   There are lots of pubs  restaurants  and bars in Dulwich - and you are also     to Denmark Hill and Peckham for other connections to London ,5
19660,The  is one of the fanciest and sought after in London  with lots of greenery and friendly atmosphere  Camden Town is at a 15   nice      Oxford circus is at 10   with the tube from Chalk Farm or Camden Town station  In the   you can find nice and bespoke restaurants as   as fancy shops and live the London lifestyle   from the classic tourist destinations ,5
19662,There is a local Co-Op supermarket  only 10 seconds   from the gates  on the corner of Theydon Road and Mount Pleasant Hill  There are Turkish supermarkets at the top of Mount Pleasant Hill  just a 5     up the hill  turn right out of the gates     The   has a young  creative family vibe  surrounded by park    cafes  bars  shops and restaurants  Chatsworth road has a Saturday farmers market  and plenty of nice restaurants and boutique shops  There is a  gym called BLOK around the corner  The Crooked Billet pub on Upper Clapton Road is our local  There is also a pub on the Lea River called The Princess of Wales  And there is the popular Clapton Hart on the roundabout  which stays open late and brings in the largest crowd ,5
19665,The apartment is 10  uets from up and co g mile end in one direction  and the Stafford redevelopment in the other with a huge range of shops and restaurants ,5
19667,SHOREDITCH - OLD STREET,5
19680,We are 2   from the station which will get you in to Waterloo in 40   or Richmond in 15   Hampton Court Palace is a half hour   across Bushy Park    The High Street is 3  _     and is a  place for a mooch around and a coffee   There are small supermarkets and also independent shops to meet most of your essential shopping needs  The River Thames and Teddington Lock are also   and there are some lovely  s or bike rides along the river banks ,5
19681,A stroll in Hyde Park is steps    but on a rainy days you can   inside of the   museums   The Design Museum as   as other London gems like the V A and Natural history Museum are accessible by long- s or short transport rides  Guests are always happy to find a gigantic Whole Foods market   by  8 main     as   as Waitrose grocer at the end of the street  and Tesco Superstore  9     for any forgotten essentials  A massage parlor is directly across the street  if you decide to indulge in extra pampering ,5
19689,it's a very friendly neighbour hood with everyone looking out for each other   ,5
19690,Hoxton and Shoreditch are among the coolest  s in East London  There are hundreds of restaurants and bars all   a few hundred meters  Why not start your tour across the road at the char g and atmospheric William IV pub   Regents canal is only 250 meters to the north which makes for a scenic    cycle or run  Check out Canal No 5 Cafe at City Road Lock - an oasis is in the centre of London ,5
19706,Goodge Street  historically this bohemian   was once home to writers Virginia Woolf and George Bernard Shaw   Now home to a range of popular shops  cafes and restaurants still populated by contemporary celebrities   Designers  business merchants  and students all congregate at the exceptionally classic and fashionable pubs that define the    e g  The Fitzrovia Tavern  the King and Queen and Crown and Sceptre and the wealth and variety of restaurants on Charlotte Street     A stone's throw from London Universities  shopping mecca Oxford Street and Tottenham Court Road  with the lure of the West end and Soho all in   proximity ,5
19714,Blackheath is a beautiful green spot in SouthEast London just at the back of Greenwich Park and the start of the London Marathon each year  There are regular events happening on the Heath and in the Summer there are concerts and entertainment in the park  In Blackheath Village you will find a variety of independent shops  restaurants and bars / pubs ,5
19732,The East Village  in Stratford was formally the Athlete's Village  During the 2012 Olympics  the whole   was newly created  purpose built for the athletes  Since then  it has become the home to    and has lots going on  From local shopping  parks  bars and restaurants  We are a stone throw from Aquatic Centre  Copper Box arena  Olympic Stadium  Westfield Shopping  center  and much more from the Olympic legacy ,5
19737,Shoreditch/ Old street  right in the city centre    to attractions  Street art  lifestyle  restaurants and night life    the apartment is located in a really nice   and it is completely quiet ,5
19747,Once an important part of London  river trade  Bermondsey sat derelict for several decades  until the    wharves were renovated in the 1980s  Now it  a lively part of town  with some exceptionally good restaurants and coffee  s  although they can sometimes be a bit tricky to find  Bermondsey also has plenty of excellent bars and pubs  usually packed to the brim with visitors and regulars  Bermondsey can turn Londoners into tourists  The Scoop in particular attracts both out-of-towners and locals to its free quality events   If you haven__ already  make sure to take a stroll down Bermondsey Street to see what one of London  most ancient streets has to offer  From the Bermondsey Street Festival to the Bermondsey Antiques Market  this street continues to thrive  I couldn__ recommend this   enough _ and I'm not just saying that because it  my home ,5
19753,Camden Market can be reached in a 5-    and offers a wide variety of shops and places to eat    music venues can be found in the local    such as KOKO which is just under a 10-      Camden is a  choice for travellers interested in theatre  entertainment and history  This   is also  for shopping  with popular brands   H M,5
19759,Fish Island is an   currently in conversion from light industrial to mostly residential  Located on the border of the Queen Elizabeth Park  the   is an 5     to the Stadium and 15   to Stratford  The development is gated and monitored by 24 hour security ,5
19760,Brixton's Upper Tulse Hill is an eclectic mix of cafes  music  families and parks  Brixton village  a short     from the property  has a lively array of restaurants and is a stones throw from Ritzy cinema and other attractions  Holmewood Park is immediately behind the   and is perfect for kids  The larger Brock  Park is a short     and is  for picnics  runs and general outdoor activities ,5
19772,The street is quiet and residential   There are local parks   as   as the Portobello and Golborne roads markets on Fridays and Saturdays   A   to explore on foot  and enjoy the local entertainment  The canals  lead to little venice  and eventually to camden   or in the other direction  Kensington Gardens and Hyde park  There's a local swim g pool and sports centre about 10     also ,5
19777,Finsbury Park is a hub of North London and hustling bustling place to visit and stay  It's an exciting   filled with amazing independent restaurants  bars and pubs  Our   is located to the North of the station and park itself and right next to one of the  s more quirky and exciting restaurants  Max's Sandwich Shop  lauded in national and international press as the local's secret  You must try the Ham  Egg and Chip sandwich  Also   a short   from the   are London institutions Jai Krishna  serving vegetarian Indian food  and Pappagone  a traditional and always lively Pizzeria ,5
19789,Quiet cul-de-sac-perfect for families   Very green   with local cafes for breakfast and lunch      -10     local park-with football/basketball court and trim trail   play   for younger children with slides  swings etc   Cinema/restaurant and swim g pool complex - 5   drive,5
19792,Called by The Guardian as the  coolest  place to live in Britain  Dalston is a lively  with an ethnically varied population  Architecturally it is a mixture of 18th and 19th-century terraced  s and 20th-century council estates  It is currently undergoing rapid transformation  partly because of the redevelopment of the railway station at Dalston Junction and partly due to the revitalization of large parts of east London in the build-up to the 2012 Olympics ,5
19794,Crossharbour is a very modern     to Canary wharf  which is the financial center of London  There are running routes near Times river and  restaurants  bars  ,5
19800,Stoke Newington is an extremely vibrant   with loads of  restaurants and cafes  It is the favourite of   families and young professionals who live here for the  atmosphere and the   amazing restaurants and cafes  You are only 20     from Central London and 15   to Liverpool Street  which is the heart of the financial district in London    Here are a few of the best  Itto's on Stoke Newington High Street -  pan-Asian food  and about 3     from the apartment   take  option  Uncle Nam's  a bit further down the High Street towards Dalston - this is owned by a friend's friend  so I might be biased  but Uncle Nam's has a simple menu of really clean delicious Vietnamese dishes    Stoke Newington is full of  pizza  but the three best options are  Franco Manca and Appollo Pizza  both on on Stoke Newington High Street   and L'Antica Pizzeria Da Michele on Church St  the only branch outside Naples   Rasa on Church Street will,5
19802,Full of shops and nice place where having dinner,5
19810,Tooting is amazing  it's changing everyday and is so vibrant and full of life  If you really want to experience community life in London then come and check out the mixing pot of cultures  restaurants  bars and shops  There are some of the best restaurants and bars in the city here  I know thats a bold claim but I genuinely think it's true   Do ask us for  places to eat and drink- there are   that we will gladly recommend ,5
19827,In the centre of Belsize Park    to Hampstead  Swiss Cottage  Camden and Primrose Hill,5
19830,Old Brompton Road is a major street in the South Kensington district of The Royal Borough of Kensington and Chelsea  London  It starts from South Kensington tube station and runs south-west  through a mainly residential    until it reaches West Brompton and the   around Earl's Court tube station  It runs through the SW5 and SW7 postcodes  There are several 5-star hotels and upmarket shops along the road  One of the most famous auction  s in the world  Christie's  is located near the eastern end of the road at number 85  Another landmark of the road is the Troubadour which has been a cultural hub for over fifty years  The coffee-  above  now a restaurant  has hosted the founding of Private Eye and the writing of   books  while the club below has been a venue for Bob Dylan and Adele  The Drayton Arms is a Grade II listed pub and theatre at number 153  The most famous resident was Diana  Princess of Wales before her 1981 engagement and subsequent marriage to Charles  Prin,5
19856,This is a thriving   of north London with    restaurants and pubs  we have created a guide for your perusal listing the top places  as   as parks  the Regents Canal and  transport links for accessing the whole of London ,5
19859,With     you will find shops  pubs  restaurants  parks ,5
19860,Brixton Hill have very popular restaurants which is just in the corner  Pizza Brixton  Brixton Hill Fish and chips   ,5
19864,Golders green is predo antly a residential    20   drive/tube from the west end  Central London   Lots of restaurants and public transport Lovely big park ,5
19869,Centrally located near Soho  Covent Garden  Leicester Square  and Chinatown     of restaurants  bars  shops  several theatres  and the tube  Whole Foods is a 5     from the apartment  One of the best locations in London ,5
19872,We are a 20-30     along the canal to Victoria Park with a lovely cafe and Sunday food market   And lots of space for kids to run around    Victoria Park Village has  restaurants  if you feel like pasta there is a  Italian restaurant 5   from our     If you feel like a burger and Beer  Dirty Burger is the best place in Whitechapel   Stepney City Farm is less than 10      is  for kids and has a  little cafe serving all day breakfasts  as   as selling fresh farm produce   If you would like to cook we have a fully stocked kitchen  please help yourself to all herbs  spices  condiments etc   there is a  organic butcher and food market  Simply Fresh  a 5       on Roman Road ,5
19886,Long before it was considered one of the __oolest places in Britain_  funky young creative types flocked to Dalston to enjoy the buzzing nightlife  vintage shops and quirky cafes   A fantastic gentrifying  in its own right  Dalston also has  transport and sits between other   s such as trendy Islington  yummy mummy Stoke Newingtin  leafy London Fields and Shoreditch to the south  The   has a brilliant mix of residents from all social and ethnic backgrounds  Is there more interesting more varied part of London?  I don't think so ,5
19888,Very central- Big Ben  Trafalgar Square  Buckingham Palace  St James Park- all reachable in 5     ,5
19910,Nestled between Wandsworth and Clapham Commons  the main attraction of the   is the Northcote Road  It is half a mile long and runs in a near-straight line south from the busy crossroads with Battersea Rise to Broomwood Road  Visit during the day in the middle of the week  and you__l find the street bustling with young mums on their way to baby yoga or one of the local organic grocery shops    However  pop by in the evening and it  a different picture  bars and restaurants burst with young professionals  At weekends market stalls selling artisan breads  cheeses  fruit and veg  flowers  clothes and other crafts attract people from further afield in the borough  In short  Northcote Road is the thriving hub of Battersea,5
19919,Lots of lovely pubs   food   plus  transport links ,5
19923,Regenerated   filled with modern  energetic landscaping and new accommodation buildings  Near trendy Shoreditch and Brick Lane  Whitchapel gallery 2        to gyms   Virgin Active   supermarket  Waitrose  and plenty of bars and restaurants  Transport links very good ,5
19926,  100m is WILTON WAY with a local shop for groceries  newspapers etc  a hairdressers  and 2 very good cafes with very good coffee    J  GLINERT is the specialist shop for pens  brushes  watering cans and other wonderful delights made locally    MOMOSAN shop offers objects selected by Momoko Mizutani whose interest is to link different cultures in practical  resourceful and imaginative ways   PIDGIN is a cosy and very interesting restaurant with a weekly changing menu  Booking in advance is advisable    RICHMOND ROAD is 5     at the other end of our road with several restaurants   The immediate   is residential and culturally mixed  About 10     is the infamous BROADWAY MARKET  If you don't know it already you can search the internet and you will get a good idea of what is available  Saturday is the main Farmer's Market  food  clothes  je ery  flowers  vinyl  books  vintage clothing etc  and lots of places to,5
19932,In the heart of London Fields__asily the best place from which to explore London  It's accessible to everything amazing the city has to offer - from curries in Brick Lane  shopping on Oxford St and bar hopping in Soho  London Fields itself is very trendy  with some of London's best restaurants  bars  and parks   reach  Saturday's at Broadway Market  5      and Sunday's at Columbia Rd Flower Market  15      are not to be missed ,5
19939,  to the beautiful Nonsuch park  Wimbledon and transport links to central London ,5
19951,Private residence with free parking,5
19956,Shoreditch/ Old street  right in the city centre    to attractions  Street art  lifestyle  restaurants and night life    the apartment is located in a really nice   and it is completely quiet ,5
19965,Elephant   Castle has become the hippest new district in London with loads of new artisan bars  restaurants  breweries  and shops  You're also in Zone 1 so it's easy to get to all the main sites across the City ,5
19967,beautiful little streets with small shops but 5     from the more chic and glamorous restaurants and Boutiques of sloane st  and knightsbridge,5
19969,Camden Market can be reached in a 5-    and offers a wide variety of shops and places to eat    music venues can be found in the local    such as KOKO which is just under a 10-      Camden is a  choice for travellers interested in theatre  entertainment and history  This   is also  for shopping  with popular brands   H M,5
19971,Highgate is   known as having the country feel in the big city  It borders amazing Hampstead Heath which is arguably the best park in London with its wild woods  Kenwood   and swim g ponds  We're  some amazing  s  there's a disused railway line  Highgate Cemetery where Karl Marx is buried is a ten      We have a  pub  The Woodman  on our doorstep  and Highgate Village has a  selection of traditional English pubs serving good food with a homely atmosphere  There are also a number of good quality restaurants to choose from too ,5
19973,Our apartment is perfectly located in the heart of Central Garden in a safe and secure residential    With so   major London sights on your doorstep you will not find a better location ,5
20008,Dalston is a vibrant  creative and diverse community  and you will not be short of places to go  things to see and fantastic food to eat   London Fields and the food stalls and pubs of Broadway Market are a pleasant 15-20   stroll  and the perfect place to spend a Saturday  Be sure to check out the fantastic organised chaos that is Ridley Road Market on your way      The   has an abundance of green spaces  with Hackney Downs  1        London Fields  Clissold Park and Victoria Park are all       on a nice day   There are pubs  bars and restaurants galore  and I'll leave a few of my recommendations in the welcome pack in the   for you  I'm always happy to make suggestions for the rest of London too ,5
20016,At the restless heart of Hammersmith where you__e surrounded by busy shopping centres  transport hubs and office developments  it  surprising to remember that   a few  _ stroll you__l find attractive riverside  s  tranquil parks and village like enclaves to explore    And for    the appeal of the   lies in this heady contrast of the convenient and the cultivated     The Grove is an award winning gastropub   Among a scattering of riverside watering holes  The Dove is the most atmospheric with a history going back to the 17th century  Low beamed and with reputedly the tiniest bar in Britain  it is a popular spot from which to view the annual Boat Race as it heads towards Mortlake  Also by the Thames is the world class River Cafe  which launched the career of Jamie Oliver   Brackenbury Village has a thriving social scene and lots of lovely places to eat and drink    With its central location  playing fields and picturesque,5
20019,Dalston is a lively  with plenty of restaurants  bars and cafes on Kingsland Road  10     from the      There are also lots of parks in the surrounding    London Fields with Broadway Market on Saturdays  Victoria Park  Hackney Downs and Clissold Park / Stoke Newington is not too far either   It's a  place to explore with independent shops  eateries and pop ups    Some of my favourite things to do are Columbia Road Flower Market on a Sunday or a   down the canals ,5
20022,Char g and friendly   In favoured Hurlingham  in one of the prettiest streets in Fulham   to Parsons Green and the River  Lovely wine bars  cafes and restaurants at the end of the road plus famous White Horse pub on Parsons Green ,5
20032,Marylebone is one of the most exciting  s of London    to the West End  village atmosphere  Local farmers market  excellent restaurants  bars  pubs  parks and buildings ,5
20040,Canary wharf is a business   is which is prestige  very safe and offers a lot of activities  It was developed in the earlier docks  so   looks trendy  a lot of water  birds/wildlife and rich history  There is a big mall with all the shops you can imagine    restaurants  right next to our building several smaller food shops which work till midnight  Cool roof top night club is located just in the next building ,5
20051,The trendy and creative hub of Shoreditch hosts the best places to eat  drink and visit all        Shoreditch accommodates some of London  most cutting edge eateries and with culinary delights to suit all budgets  Check out Brick Lane  which continues to be a mecca for curry fans from all over the city and is a  way to spend an afternoon wandering around the vintage shops  trying the delicious street food  and looking at street art  If you like shopping  we recommend a trip to Blitz London - hailed as the biggest vintage shop in Europe  There is also the famous BoxPark here which is a little shopping   made from old shipping containers -  for shopping  eating  and enjoying a drink in the evening  Additionally  make sure to take a trip to Columbia Road flower market on a Sunday  where this outdoor market is a  place to spend the morning strolling through the flower-adorned streets  Like movies and a killer view? Spend an evening at the Rooftop Film C,5
20056,Gail's Bakery on the corner of wardour Street and St Ann's Court does amazing fresh bread and cakes every day  Plus good coffee   Right outside our fat is a lovely coffee shop -   White - amazing coffee    On Bateman street there is a  little Tapas place called Pix  Directly opposite the   is a fab little seafood place called Bonnie Gull  where you can sit at the counter drink a cold dry white wine and eat the specials of the day    Down on Frith Street is the world famous Ronnie Scotts Jazz club  Try and book tickets in advance if you can but sometimes you can   in on the night if you're lucky    Also on Dean street is the Soho Theatre  a fab local theatre with all sorts of shows    check in advance for tickets    Down on Shaftesbury Avenue is the independent cinema The Curzon if you fancy a movie night    On Wardour street there is the Mexican chain Wahacca -  sharing food    On Dean st,5
20059,Queens Park is a leafy inner-London suburb with quiet residential streets set  around Salusbury Road  a lively street with   quality cafes  a bakery  take- s  restaurants  shops and bars   On Sunday mornings there is a busy farmer's market selling an amazing range of delicious ready-to-eat food  The park is 10      The independent  Lexi  cinema is 25      or a short bus ride   plus The Tricycle  now Kiln  independent theatre/cinema is 15       ,5
20063,Chelsea  Battersea park  Pimlico  South Kensington  Victoria,5
20068,Supermarkets   5-10       Desirable cafes serving brunch   5-10       Wandsworth Common has tennis courts  cosy pubs  boutiques and charity shops ,5
20076,We live in a quiet friendly   There is a beautiful park  Betts park      from the   and a supermarket at our door step  Tesco   There is also a cheaper supermarket  Aldi  5       if you want to do a big shop  There are a few fast food take  about 5     from the    There is also a pharmacy a few     ,5
20080,Shoreditch accommodates some of London  most cutting-edge eateries and with culinary delights to suit all budgets  Check out Brick Lane  which continues to be a mecca for curry fans from all over the city and is a  way to spend an afternoon wandering around the vintage shops  trying the delicious street food and looking at street art  If you like shopping we recommend a trip to Blitz London - hailed as the biggest vintage shop in Europe  There is also the famous BoxPark here which is a little shopping   made from old shipping containers -  for shopping  eating and enjoying a drink in the evening  Additionally  make sure to take a trip to Columbia Road flower market on a Sunday  where this outdoor market is a  place to spend the morning strolling through the flower-adorned streets  Like movies and a killer view? Definitely spend an evening at the Rooftop Film Club at Queen of Hoxton which has perfected the art of the outdoor cinema  Screenings start at 9 pm and we rec,5
20086,The neighborhood has quiet  tree-lined streets with huge Victorian  s throughout  There are some  places to eat   and you can   to Chelsea or Central London in   ,5
20092,Earlsfield is a  little community  We love the cafes and restaurants   plus some  pubs and green spaces        Running around Wandsworth Common is fantastic or   to  Northcote Road on a Saturday to visit the market stalls and lovely boutiques ,5
20106,Vogue once named Chamberlayne Road in Kensal Rise as __he hippest street in Europe_ thanks to the shops  restaurants  bars and cafes located here and the beautiful trendy folk who frequent them  Few other places in the world get this sort of celebrity attention  Kensal Rise is in a prime location  sitting next to the City of West ter and surrounded by  s including Notting Hill  Maida Vale  Paddington and Kensington  One of the main reasons why it  such a popular   to stay in is the  transport links  Kensal Rise station provides connections through to Richmond and Clapham while Kensal Green tube station is on the Bakerloo line and a 20   journey from Oxford Circus  There are plenty of bus services and  for those feeling a little more athletic  there  a bike path running along the canal from Kensal Rise to Paddington ,5
20117,Old Court Place is situated off High Street Kensington and Kensington Church Street  stone throw   from Kensington/Hyde Park  Comprehensive selection of fashionable shops  restaurants and bars   London's most premier   ,5
20119,The trendy and creative hub of Shoreditch hosts the best places to eat  drink and visit all        Shoreditch accommodates some of London  most cutting edge eateries and with culinary delights to suit all budgets  Check out Brick Lane  which continues to be a mecca for curry fans from all over the city and is a  way to spend an afternoon wandering around the vintage shops  trying the delicious street food and looking at street art  If you like shopping we recommend a trip to Blitz London - hailed as the biggest vintage shop in Europe  There is also the famous BoxPark here which is a little shopping   made from old shipping containers -  for shopping  eating and enjoying a drink in the evening  Additionally  make sure to take a trip to Columbia Road flower market on a Sunday  where you can spend the morning strolling through the flower-adorned streets   Like movies and a killer view? Definitely spend an evening at the Rooftop Film Club at Queen of Hoxton ,5
20123,Located in a leafy borough of Camden in Zone 2 of Central North London   Places you will find yourself near to  Camden Square next to the   of late Amy Wine   famous Camden market  Kings Cross Coal's Yard   Design Junction  Granary Square with Central Saint Martins  Saint Pancras station to Paris  Regent's Canal  Hampstead Heath  UCL  London ZOO  famous Primrose Hill  One bus/ tube    we are in ZONE 2   Oxford Street  Sloane Square  Marylebone  Regent Street  Covent Garden  Soho  Hyde Park Knightsbridge Serpentine Gallery/ Harrods  Shoreditch  overground   The street is in a friendly and community-led quiet street that instantly puts you at ease  With   quiet   family friendly  gastro-pub with delicious food always on the menu  Italian delicatessen with helpful staff that will make you smile    Surrounded by plenty of parks  small communal to Regent's Park   Hampstead Heath with ponds to dip in the summer the nearest  10-20  cyc,5
20126,We are uniquely located on a very quiet residential street  one way for cars   but only 5     from the High St  supermarket  shops  pub  cafes  restaurants   7     to Walthamstow Central ,5
20154,Vibrant Camden Town has a deep history and is  for people watching  Rough around the edges on one corner  sheek and leafy around another  A  base to explore London ,5
20171,  to historic Royal Greenwich where you can see such wonders as The Cutty Sark  The Royal Naval College and Greenwich Royal Observatory ,5
20172,We are in a very good location  You can easily access Dalston  Stoke Newington  Newington Green  Shoreditch  Clapton  Highbury and Islington  Finsbury Park  Crouch End and Wood Green by public transport  At the same time  you are on the doorstep of a nature reserve - Woodberry Wetlands  with The Coal   cafe facing the lakes   and the Castle Climbing Centre  Also less than 10      in either direction are Clissold Park  cafe  playground  tennis  paddling pool  animal enclave  lakes  and Finsbury Park  cafe  playground  lakes   You can be on bustling Stoke Newington Church Street with cafes  bars and shops  Wholefoods  fishmongers  wine shop  butchers  with a 15     Everywhere else is   easy reach by bus or underground    r to home  there are local shops  and a Sainsbury's Local  for basics  and a pharmacy and Post Office etc  5         We are lovers of the    food  arts and culture  so if you have any questions  do get in touch a,5
20181,The charm of a leafy and quiet  with shops and facilities      You will find everything you need at Lewisham shopping centre which is 8     up the road  on your right when you leave the     If you go on your left  you will come across Hither Green Station where a tiny lovely village hosts char g shops  a tasty pizza truck  on Thursday and Friday nights  and the Station Hotel which is the best pub in the   ,5
20183,The  is clean  quiet and safe with a shop  hair salon  dry cleaners and pharmacy next to the block of  s  The O2 is right on your doorstep for a wide selection restaurants and of course access to the arena whenever a big event is on ,5
20209,Greenwich,5
20218,Trendy 路 Village 路 Beautiful  s 路  Restaurants 路 Family-Friendly 路 Shopping 路 Easy Access to the Sights of London,5
20221,The   is perfect if you want to experience the vibrant east-London atmosphere  It is 10/15     from Brick Lane and Shoreditch      from Dalston   Moreover    touristic attractions are at     ,5
20224,It is less than 3     from South Kensington station    2     to Gloucester Road station    The national history museum is located opposite the     Less than 5   to The Albert Hall or Victoria and Albert museum   There is a off-licence shop round the corner which is open 24 hours   Tesco express near by or Waitrose    Also   restaurants and bars are around this   ,5
20228,The apartment in the heart of Clerken  the bedroom is very large and all bedding is provided  The kitchen with all the usual facilities should you be wanting to prepare your own food  The kitchen opens on to a small balcony overlooking the communal courtyard  the balcony faces west and is a lovely suntrap as   as containing a washing machine should you need to wash some clothes    Ten     from Angel   Kings Cross or Farringdon stations as   as being 2     from   major bus routes makes travel to any part of London extremely easy  Exmouth market is just a stones throw   and boasts   first class restaurants and bars ranging from very expensive to cheap as chips and a 10     will take you to Angel where there is a plethora of shops and bars from your usual hight St brands to quirky little private boutiques   A little further afield the Westend  city and south-bank are all   easy     but also very   connected by,5
20232,Two     to London fields park  5   to both London fields and hackney central train stations  Busses run from outside of the building complex  Very   to   known restaurants  coffee shops and bars,5
20249,Located at 10   of the iconic Tower bridge and the city hall's  way  the  is hugely enjoyable with Bermondsey street  where there are some of the nicest restaurants in London  Borough market/ Tower of London and the city are 15      Finally  you can also go to our favorite place of the moment  Mercato metropolitano  Maltby street market    Iron square and St Katherine docks  all accessible by    check online for pics  ,5
20254,Clapton is in Hackney one of Londons most diverse and exciting Boroughs  We have both high end restaurants and some  street food  vibrant bars and some of Londons loveliest green spaces  There's lots of fun to be had in Clapton - you can enjoy a   along the canal down to shoreditch where you'll find lots of fun pubs and restaurants     It only takes 40   to get to Soho from ours and stratford is 10     on the overground    Clapton is really   connected and whether you are young or old  with a family or on your own  you will find loads to do here ,5
20256,The   of Furzedown  Tooting  is a quiet residential   with  access to the city  25   on the Northern Line     It's 10   from Brixton Market  one of London's most famous food markets  as   as 5   from Tooting Broadway which has a host of fantastic bars and restaurants ,5
20262,Surrounded by supermarkets such as Tesco and corner shops  Japanese and Italian restaurants  You have also a Post office  Laundrette  Beauty institute and Southwark Park around ,5
20266,Local outdoor spaces  Stonebridge Gardens is situated just behind the    De Beauviour Square is a 2      Haggerston Park is a 5      Regents Canal is a 5      London fields and is a 10      Broadway Market is a 10      Columbia Road flower market  Sundays  is a 15      Victoria Park is a 20     ,5
20267,Tulse Hill and West Norwood are a 5/10        Lots of supermarkets  a few quiet local pubs  and some lovely park  s are   Beamish and McGlue is a craft artisan food shop  and there's a Bob's Wines just opened for your craft beer needs  Supermarkets include Sainsburys  Tesco  Co-op  and Iceland  Numerous take s are   thai  indian  chicken  fish+chips ,5
20269,Living in Battersea and Nine Elms  Battersea is in the London Borough of Wandsworth and stands on the south bank of the River Thames  spanning from Fairfield in the   west to Queenstown in the east  The   is conveniently located just 3 miles from Charing Cross and easily accessible from most parts   of Central London   The skyline is do ated by Battersea Power Station and its four distinctive chimneys  visible from both land and water  making it one   of London  most famous landmarks  Battersea  most famous attractions have been here for more than a century  The legendary   Battersea Dogs and Cats Home still finds new families for abandoned pets  and Battersea Park  which opened in 1858  guarantees a  wonderful day out   Today Battersea is a relatively affluent  with wine bars and   independent and unique shops - Northcote Road once   being voted London  second favourite shopping street  The SW11 Literary Festival sho,5
20270,Our home sits opposite a rather beautiful grade II listed church called St Andrews  1882    The building contains the modern stained glass New Cross Fire memorial window ,5
20282,East Village is a brand new   of London  built on the site of the Olympics  Not only is it   a short   to all the main Olympic stadiums but it has health built into the design of the    with active  s  few cars  health shops and large open spaces all around    The   is vibrant with weekend markets and strict rules about independent businesses running the local shops  restaurants and bars  But Stratford is one of the most connected stations in the city with Kings Cross only 6      and access to the Jubilee  Central  DLR and Overground tube lines    A   or cycle takes you to Hackney Wick  the trendiest part of London with its canal side chic bars  microbreweries and music venues  Head on a few   to Victoria Park  one of the largest and most attractive parks in London  Want a place with everything all at once  Westfield shopping centre is only moments   ,5
20288,The property is perfectly located off Fulham road   the beach    with all the amenities and cafe scene  Only a short   to the trendy shops and fashion of Kings Road and Brompton Road   A few bus stops   from National History Museum  Victoria and Albert Museum  Kensington Palace and Hyde Park ,5
